id_str,annotation_is_rumour,annotation_veracity,has_tweet_coordinates,default_profile_image,has_description,tweet_favourited_count,user_favourites_count,followers_count,followings_count,retweet_count,user_activity_count,verified,has_text_url,has_exclamation,has_first_noun_words,has_hash,has_mention,has_qmark,polarity_positive,polarity_negative,subjectivity_positive,subjectivity_negative
16834659,rumour,real  ,0,FALSE,1,5,1677,183317,17881,26,119126,TRUE,FALSE,0,FALSE,TRUE,TRUE,0,TRUE,FALSE,TRUE,FALSE
51241574,rumour,fake,0,FALSE,1,69,2,4972128,7338,315,103467,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
77528520,rumour,unverified,0,FALSE,1,4,133,29948,20986,51,60265,FALSE,TRUE,0,FALSE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE
38400130,rumour,unverified,0,FALSE,1,12,46,330068,149,42,158418,TRUE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE
17740486,rumour,fake,0,FALSE,1,7,6687,86373,804,30,63414,FALSE,FALSE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
16834659,rumour,fake,0,FALSE,1,15,1677,183319,17881,38,119127,TRUE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
26738483,rumour,real  ,0,FALSE,1,4,490,44886,733,36,13974,TRUE,FALSE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
16973333,rumour,real  ,0,FALSE,1,8,43,1103776,1758,56,161121,TRUE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1652541,rumour,fake,0,FALSE,1,168,841,6445802,1053,822,117707,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,TRUE,TRUE,FALSE
7587032,rumour,fake,0,FALSE,1,12,1,1964040,17,39,133453,TRUE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE
30122242,rumour,fake,0,FALSE,1,11,178214,24283,26712,25,133218,FALSE,TRUE,2,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
2280470022,rumour,fake,0,FALSE,1,18,350,58364,383,180,14445,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,TRUE,FALSE
25049056,rumour,fake,0,FALSE,1,9,32,93671,1182,58,82752,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
25067168,rumour,fake,0,FALSE,1,11,651,147333,360,122,51439,TRUE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
34262462,rumour,unverified,0,FALSE,1,13,6,69503,77,97,73304,TRUE,TRUE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
17561562,rumour,fake,0,FALSE,1,13,2571,33277,186,31,196422,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE
255187660,rumour,unverified,1,FALSE,1,27,12,4019,1148,113,1584,TRUE,FALSE,0,FALSE,TRUE,FALSE,0,FALSE,TRUE,TRUE,FALSE
72882689,rumour,fake,0,FALSE,1,51,192,19411,15122,141,161546,FALSE,TRUE,0,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE
17561562,rumour,fake,0,FALSE,1,17,2572,33265,186,58,196510,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
487118986,rumour,real  ,0,FALSE,1,6,0,1495198,81,41,20817,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
1367531,rumour,unverified,0,FALSE,1,62,9,5013586,384,154,195821,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
2280470022,rumour,unverified,0,FALSE,1,37,350,57279,383,574,14408,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
